views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
557.9K,30.1K,1.2M,"1,426",1.4K,"""To all the little girls watching...never doubt that you are valuable and powerful & deserving of every chance & opportunity in the world.""",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:51 AM,"Nov 9, 2016",796394920051441664,https://www.twitter.com/HillaryClinton/status/796394920051441664
99.5K,"1,569",214.7K,3,3,"""To Barack and Michelle Obama, our country owes you an enormous debt of gratitude. We thank you for your graceful, determined leadership.”",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:47 AM,"Nov 9, 2016",796393719524130816,https://www.twitter.com/HillaryClinton/status/796393719524130816
,211,,29.5K,,"“You represent the best of America, and being your candidate has been one of the greatest honors of my life.” —Hillary to @HFA",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:42 AM,"Nov 9, 2016",,https://www.twitter.com/HFA
,"1,601",,154.2K,,“Let us have faith in each other. Let us not grow weary. Let us not lose heart. For there are more seasons to come and...more work to do.”,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:53 AM,"Nov 9, 2016",796395255432146948,https://www.twitter.com/HillaryClinton/status/796395255432146948
37.5K,"6,623",90.7K,12,12,“Donald Trump is going to be our president. We owe him an open mind and the chance to lead.” —Hillary,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:43 AM,"Nov 9, 2016",796392800350863360,https://www.twitter.com/HillaryClinton/status/796392800350863360
11.1K,321,37.1K,1,1,"""Our constitutional democracy demands our participation, not just every four years, but all the time."" —Hillary",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:44 AM,"Nov 9, 2016",796393027975729152,https://www.twitter.com/HillaryClinton/status/796393027975729152
,488,,66.2K,,“I am grateful to our country for all it has given me. I count my blessings every day that I am an American.” —Hillary,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:52 AM,"Nov 9, 2016",796395004331786246,https://www.twitter.com/HillaryClinton/status/796395004331786246
"6,618",424,22.3K,2,2,“I hope that he will be a successful president for all Americans.” —Hillary on Donald Trump,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:42 AM,"Nov 9, 2016",796392429112926208,https://www.twitter.com/HillaryClinton/status/796392429112926208
15.6K,325,51.9K,1,1,"""Our responsibility as citizens is to keep doing our part to build that better, stronger, fairer America we seek. And I know you will.”",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:45 AM,"Nov 9, 2016",796393337712443392,https://www.twitter.com/HillaryClinton/status/796393337712443392
,79,,30.1K,,"""I want to thank Tim Kaine and Anne Holton for being our partners on this journey."" —Hillary",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:45 AM,"Nov 9, 2016",796393404095692800,https://www.twitter.com/HillaryClinton/status/796393404095692800
