views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
,"5,211",,,,@potus Nice job last night. Aunt Hillary approves. #WHCD -H,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,11:52 AM,"May 1, 2016",,https://www.twitter.com/POTUS
,"1,927",,,,"When we stand together against the other side's hateful words, we all rise.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,1:00 PM,"May 2, 2016",727226308330029061,https://www.twitter.com/HillaryClinton/status/727226308330029061
,807,,,,Hillary ha demostrado que ella es la única candidata preparada para enfrentarse a desafíos y lograr resultados. http://hrc.io/26Kq6tg,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,5:51 AM,"May 2, 2016",,https://www.twitter.comhttps://t.co/Qz1SBHe2fg
,"2,539",,,,"We can't let all the progress we've made under @POTUS be torn away by Donald Trump.

Let's move forward—together.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,4:37 PM,"May 2, 2016",,https://www.twitter.com/POTUS
,"2,743",,,,"“Even if people don’t vote for me in November, I’m going to be for them and for you every single day.”",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:07 PM,"May 3, 2016",727575277161857024,https://www.twitter.com/HillaryClinton/status/727575277161857024
,"2,197",,,,We don’t have time to waste on Trump's fake solutions that won’t do a thing to help your families.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:36 PM,"May 3, 2016",727582702749159424,https://www.twitter.com/HillaryClinton/status/727582702749159424
,894,,,,Revitalizing Appalachia means investing in education and training—from pre-K to college to vocational and retraining programs.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:21 PM,"May 3, 2016",727578932766228480,https://www.twitter.com/HillaryClinton/status/727578932766228480
,832,,,,"“There’s no question that the workers of Appalachia made America more prosperous and secure, and that legacy should be honored.” —Hillary",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:02 PM,"May 3, 2016",727574005851525121,https://www.twitter.com/HillaryClinton/status/727574005851525121
,1,,"5,318",,"We know Donald Trump is not who we are. If you want to shut him down, then let’s vote him down.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:13 AM,"May 4, 2016",727878891646423044,https://www.twitter.com/HillaryClinton/status/727878891646423044
,"1,938",,,,"There's only one candidate left who can stop a Trump presidency.

Chip in now if you've got Hillary's back: http://hrc.io/1Y8cy4K",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,7:12 AM,"May 4, 2016",,https://www.twitter.comhttps://t.co/HkpiIXhekF
,"3,523",,,,"""As he goes after women, as he goes after literally every group, I'm going to be their voice."" —Hillary on Trump",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,6:00 AM,"May 4, 2016",727845367996256256,https://www.twitter.com/HillaryClinton/status/727845367996256256
,"1,649",,,,"Stonewall: the birthplace of a movement, and soon a national monument for equality. http://hrc.io/24wqWaS #ThanksObama",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,1:00 PM,"May 4, 2016",,https://www.twitter.comhttps://t.co/Yb1u1tUcR4
,4,,"1,871",,Trump just stood by his proposals to ban Muslims from entering the U.S. & deport millions of immigrants. Seriously.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,4:46 PM,"May 4, 2016",728007966629060608,https://www.twitter.com/HillaryClinton/status/728007966629060608
,871,,,,"""They couldn't take him on on the issues because they basically agreed with him."" —Hillary on Trump's @GOP rivals: http://hrc.io/1rvlEyl",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,11:31 AM,"May 4, 2016",,https://www.twitter.com/GOP
,6,,"5,322",,Comprehensive immigration reform will bring people out of the shadows and into our economy.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,4:32 PM,"May 5, 2016",728366819996733440,https://www.twitter.com/HillaryClinton/status/728366819996733440
,"2,090",,,,"""I want more Americans to believe again we are all in this together.""",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,11:43 AM,"May 5, 2016",728294044632129537,https://www.twitter.com/HillaryClinton/status/728294044632129537
,2,,"1,655",,"Last night, Trump stood by his plans to ban Muslims from entering the U.S. and deport millions of immigrants.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,3:11 PM,"May 5, 2016",728346449684119552,https://www.twitter.com/HillaryClinton/status/728346449684119552
,5,,"2,004",,"""Do you still believe that Muslims should be banned from entering the country?""

@realDonaldTrump: ""Yes.""
https://amp.twimg.com/v/495627c9-d4fc-4af4-a30c-6c5ceae9f7e2…",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,7:29 AM,"May 5, 2016",,https://www.twitter.com/realDonaldTrump
,2,,"4,929",,"“I love Hispanics!” —Trump, 52 minutes ago http://hrc.io/1XaTPHx

“They’re gonna be deported.” —Trump, yesterday",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:49 PM,"May 5, 2016",,https://www.twitter.comhttps://t.co/b9mv7nUduN
"4,182","3,733","6,434",60,60,FACT: Donald Trump would end birthright citizenship. http://read.bi/1RmyubG,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,3:34 PM,"May 5, 2016",,https://www.twitter.comhttps://t.co/RJfgxTC2Ou
,1,,"1,378",,"5.5 million kids in the U.S. have at least one undocumented parent.
 
Trump's deportations would hurt them the most. http://hrc.io/24vCuP5",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,3:48 PM,"May 5, 2016",,https://www.twitter.comhttps://t.co/rJMiq7KYwk
1,"1,342",,1,,"""Everything I say I'm gonna do, folks, I do.""

What Trump says he'll do as president: deport millions of immigrants.
https://amp.twimg.com/v/7c90a72e-a705-4c51-8bbd-fd80b2c3c61b…",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:11 PM,"May 5, 2016",,https://www.twitter.comhttps://t.co/HzFWUTjywT
"3,769",2,"5,076",1,1,"""I get along with everybody."" —@realDonaldTrump

About that...",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,1:02 PM,"May 6, 2016",,https://www.twitter.com/realDonaldTrump
,6,,"1,395",,"Are you a Republican who thinks @realDonaldTrump should not become president?

Tell us why: http://hrc.io/1TvIUme",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,8:52 AM,"May 6, 2016",,https://www.twitter.com/realDonaldTrump
,"2,270",,,,"Substance abuse and drug addiction hurt our kids, friends, neighbors, and loved ones. We've got to solve this.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,2:55 PM,"May 6, 2016",728704692830658560,https://www.twitter.com/HillaryClinton/status/728704692830658560
,"2,639",,,,We're not going to round up millions of immigrants and deport them—no matter how many times Trump says he wants to.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,6:05 AM,"May 6, 2016",728571410763939840,https://www.twitter.com/HillaryClinton/status/728571410763939840
,"1,293",,,,Volkswagen workers in TN are raising their voices for the rights they deserve. VW should meet them at the table. -H https://x.com/UAW/status/724645401102413824…,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,6:21 PM,"May 5, 2016",724645401102413824,https://www.twitter.com/UAW/status/724645401102413824
,1,,"3,256",,"In 1970, Diane Crump rode her way into history at the #KentuckyDerby, becoming the first woman to compete.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,11:04 AM,"May 7, 2016",,https://www.twitter.com/hashtag/KentuckyDerby?src=hashtag_click
,1,,"2,380",,62 reasons why Donald Trump should never become president (from members of his own party). http://hrc.io/1QUQXqK,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,6:51 AM,"May 7, 2016",,https://www.twitter.comhttps://t.co/0gYEctRjSe
"8,449",11,14.5K,1,1,"Son of a Pakistani bus driver, champion of workers' rights and human rights, and now Mayor of London. Congrats, @SadiqKhan. -H",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,7:52 AM,"May 7, 2016",,https://www.twitter.com/SadiqKhan
,578,,,,Preguntamos a varios neoyorquinos sobre Donald Trump—y estas fueron sus reacciones. http://hrc.io/1rAiXLQ,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:59 PM,"May 7, 2016",,https://www.twitter.comhttps://t.co/F1nvX17tPt
