views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
,2,,"3,335",,High five.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,8:52 AM,8-Dec-12,277455725247229952,https://www.twitter.com/BarackObama/status/277455725247229952
,"2,453",,,,Saying hi:,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,12:10 PM,29-Dec-12,285115702728327168,https://www.twitter.com/BarackObama/status/285115702728327168
"6,141",5,"5,223",1,1,Happy holidays!,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,2:27 PM,23-Dec-12,282975624480555008,https://www.twitter.com/BarackObama/status/282975624480555008
1,"4,221",,1,,"Happy birthday, Mr. Vice President.",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,6:22 AM,20-Nov-12,270894831100887040,https://www.twitter.com/BarackObama/status/270894831100887040
,29,,"9,560",,"From this family to yours, happy Thanksgiving.",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,6:42 AM,22-Nov-12,271624768665550848,https://www.twitter.com/BarackObama/status/271624768665550848
,"2,512",,,,Power hug: A photo that made us smile this year.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,1:55 PM,20-Dec-12,281880635738558464,https://www.twitter.com/BarackObama/status/281880635738558464
1,"2,395",,1,,Photo of the day: A moment in the Oval Office.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,11:14 AM,5-Jan-13,287638250468802560,https://www.twitter.com/BarackObama/status/287638250468802560
"2,346",8,"2,393",1,1,"The 2012 White House holiday card, starring Bo: http://OFA.BO/gJMxvs,",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,9:28 AM,10-Dec-12,,https://www.twitter.comhttp://t.co/uxRZkhbk
,"2,870",,,,Check out the kids in the back row to see why this is one of our favorite photos from this year.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:31 AM,23-Dec-12,282870960669995009,https://www.twitter.com/BarackObama/status/282870960669995009
2,"3,124",,2,,One of our favorite photos from this year: President Obama sits on the Rosa Parks bus at the Henry Ford Museum.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,5:29 PM,4-Dec-12,276136192695746560,https://www.twitter.com/BarackObama/status/276136192695746560
,"1,984",,,,One of our favorite 2012 photos: The President and First Lady hugging at his final campaign rally.,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,5:23 PM,18-Dec-12,281208124537442304,https://www.twitter.com/BarackObama/status/281208124537442304
,"1,064",,,,Winning an election won't bring about the change we seek on its own:,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:33 AM,6-Jan-13,287945032282025984,https://www.twitter.com/BarackObama/status/287945032282025984
,644,,,,"The tax deal means income tax rates for middle class families will stay low permanently: http://OFA.BO/QTVdcR,",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:58 AM,4-Jan-13,,https://www.twitter.comhttp://t.co/n1AZ5cgT
