views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
,"1,442",,,,RT if you’re on #TeamJoe:,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:37 PM,11-Oct-12,,https://www.twitter.com/hashtag/TeamJoe?src=hashtag_click
,"1,950",,,,Boss hug:,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,11:23 AM,5-Nov-12,265534843574693888,https://www.twitter.com/BarackObama/status/265534843574693888
"2,203",4,766,1,1,"President Obama ordered the raid on Osama bin Laden’s compound, eliminating the man responsible for the 9/11 attacks:",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,3:20 PM,5-Nov-12,265594411751178240,https://www.twitter.com/BarackObama/status/265594411751178240
19.1K,1,"1,937",1,1,It’s go time. RT if you’ve got the President’s back in tonight’s debate:,https://pbs.twimg.com/profile_images/1644381876465938433/7TiSgwTB_bigger.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,5:46 PM,3-Oct-12,253657229717278720,https://www.twitter.com/BarackObama/status/253657229717278720
,1,,"1,504",,"“Having these tall, beautiful, strong-willed girls in my house never allows me to underestimate women.”",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,12:24 PM,21-Oct-12,260099251877576705,https://www.twitter.com/BarackObama/status/260099251877576705
,1,,"1,625",,"President Obama won tonight’s debate because his leadership has made us stronger, safer & more secure. #ProudOfObama",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:24 PM,22-Oct-12,,https://www.twitter.com/hashtag/ProudOfObama?src=hashtag_click
,1,,"1,908",,"VP Biden: “I do not believe that we have a right to tell other people, women, that they can’t control their bodies.”",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,7:20 PM,11-Oct-12,256580113116852225,https://www.twitter.com/BarackObama/status/256580113116852225
,4,,"7,100",,"Twenty years ago today, I married the love of my life and my best friend. Happy anniversary, Michelle. -bo",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,6:36 AM,3-Oct-12,253488627970101249,https://www.twitter.com/BarackObama/status/253488627970101249
,141,,,,"President Obama in Ohio: ""Another $5 trillion tax cut favoring the wealthy—not change."" http://OFA.BO/YXuMBQ",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,2:57 PM,5-Nov-12,,https://www.twitter.comhttp://t.co/li5BB3NA
,2,,"1,147",,"President Obama: ""Thank goodness somebody is finally getting tough on Big Bird.""",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,9:59 AM,4-Oct-12,253902134653882368,https://www.twitter.com/BarackObama/status/253902134653882368
,2,,"2,086",,"Tag, you’re it:",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,5:07 PM,10-Aug-12,234078449793368065,https://www.twitter.com/BarackObama/status/234078449793368065
,"1,582",,,,The race is on:,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,10:56 AM,31-Aug-12,241595336278294528,https://www.twitter.com/BarackObama/status/241595336278294528
,10,,"1,587",,"Clear eyes, full hearts.",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,12:30 PM,21-May-12,204655373905432578,https://www.twitter.com/BarackObama/status/204655373905432578
,4,,"7,502",,"""Same-sex couples should be able to get married.""—President Obama",https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,12:18 PM,9-May-12,200303635895296000,https://www.twitter.com/BarackObama/status/200303635895296000
12K,3,"3,455",2,2,Congrats to Michael Phelps for breaking the all-time Olympic medal record. You’ve made your country proud. -bo,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,Barack Obama,@BarackObama,https://www.twitter.com/BarackObama,8:32 PM,31-Jul-12,230506186808643585,https://www.twitter.com/BarackObama/status/230506186808643585
