views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
14.9K,"2,160",84.4K,139,139,"Rarely has anybody deserved the death penalty more than the Boston Bomber, Dzhokhar Tsarnaev. The court agreed that this “was one of the worst domestic terrorist attacks since the 9/11 atrocities”. Yet the appellate court tossed out the death sentence. So many lives lost....",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,12:48 PM,"Aug 2, 2020",1290011569657610240,https://www.twitter.com/realDonaldTrump/status/1290011569657610240
16.6K,"2,549",107K,121,121,Homeland Security is not leaving Portland until local police complete cleanup of Anarchists and Agitators!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,8:52 PM,"Jul 31, 2020",1289408673324777472,https://www.twitter.com/realDonaldTrump/status/1289408673324777472
20.5K,"2,611",89.6K,165,165,"Pelosi & Schumer blocked desperately needed unemployment payments, which is so terrible, especially since they fully understand that it was not the workers fault that they are unemployed, it’s the fault of China!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,12:33 PM,"Jul 31, 2020",1289283091635122176,https://www.twitter.com/realDonaldTrump/status/1289283091635122176
13.6K,"2,297",71.6K,94,94,"Kate Brown, Governor of Oregon, isn’t doing her job. She must clear out, and in some cases arrest, the Anarchists & Agitators in Portland. If she can’t do it, the Federal Government will do it for her. We will not be leaving until there is safety!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,6:20 AM,"Jul 30, 2020",1288826742539464707,https://www.twitter.com/realDonaldTrump/status/1288826742539464707
32.9K,60.6K,159.4K,"1,503",1.5K,"With Universal Mail-In Voting (not Absentee Voting, which is good), 2020 will be the most INACCURATE & FRAUDULENT Election in history. It will be a great embarrassment to the USA. Delay the Election until people can properly, securely and safely vote???",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:46 AM,"Jul 30, 2020",1288818160389558273,https://www.twitter.com/realDonaldTrump/status/1288818160389558273
23K,"4,852",111.7K,223,223,"The 2020 Election will be totally rigged if Mail-In Voting is allowed to take place, & everyone knows it. So much time is taken talking about foreign influence, but the same people won’t even discuss Mail-In election corruption. Look at Patterson, N.J. 20% of vote was corrupted!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,1:51 PM,"Jul 26, 2020",1287490820669616128,https://www.twitter.com/realDonaldTrump/status/1287490820669616128
23.4K,"4,715",135.9K,234,234,"Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long time!), is now making a commercial of support. Remember, I wouldn’t even be here if it weren’t for them. I wouldn’t be President. They did a terrible job!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,9:29 AM,"Jul 23, 2020",1286337596206055432,https://www.twitter.com/realDonaldTrump/status/1286337596206055432
14.4K,"2,380",63.8K,69,69,"Mail-In Ballots will lead to massive electoral fraud and a rigged 2020 Election. Look at all of the cases and examples that are out there right now, with the Patterson, N.J., being the most recent example. Republicans, in particular, cannot let this happen!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:41 PM,"Jul 2, 2020",1278836342609379328,https://www.twitter.com/realDonaldTrump/status/1278836342609379328
28.1K,"6,287",165.5K,263,263,"Since imposing a very powerful 10 year prison sentence on those that Vandalize Monuments, Statues etc., with many people being arrested all over our Country, the Vandalism has completely stopped. Thank you!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:07 AM,"Jun 28, 2020",1277212069868318720,https://www.twitter.com/realDonaldTrump/status/1277212069868318720
52.8K,27.9K,203.1K,"1,547",1.5K,"RIGGED 2020 ELECTION: MILLIONS OF MAIL-IN BALLOTS WILL BE PRINTED BY FOREIGN COUNTRIES, AND OTHERS. IT WILL BE THE SCANDAL OF OUR TIMES!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:16 AM,"Jun 22, 2020",1275024974579982336,https://www.twitter.com/realDonaldTrump/status/1275024974579982336
