views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
,530,,42.7K,,"The Manufacturing Index rose to 59%, the highest level since early 2011 - and we can do much better!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,7:50 PM,"Sep 2, 2017",904174851627286530,https://www.twitter.com/realDonaldTrump/status/904174851627286530
,850,,27.6K,,Senator Luther Strange has gone up a lot in the polls since I endorsed him a month ago. Now a close runoff. He will be great in D.C.,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:23 PM,"Sep 21, 2017",910992971620864004,https://www.twitter.com/realDonaldTrump/status/910992971620864004
"7,002","1,163",31K,25,25,Great interview on @foxandfriends with the parents of Otto Warmbier: 1994 - 2017. Otto was tortured beyond belief by North Korea.,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:14 AM,"Sep 26, 2017",,https://www.twitter.com/foxandfriends
11.8K,"3,882",60.9K,2,2,"Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:30 AM,"Oct 10, 2017",917698839846576130,https://www.twitter.com/realDonaldTrump/status/917698839846576130
10K,"1,518",49.7K,1,1,"Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:21 AM,"Oct 11, 2017",918058910673760258,https://www.twitter.com/realDonaldTrump/status/918058910673760258
"8,131","1,891",45.4K,2,2,It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:31 AM,"Oct 11, 2017",918061437750267904,https://www.twitter.com/realDonaldTrump/status/918061437750267904
,"1,635",,58.6K,,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low & companies are coming back to U.S.",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:54 AM,"Oct 16, 2017",919909494200528897,https://www.twitter.com/realDonaldTrump/status/919909494200528897
,"1,615",,60.7K,,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:57 AM,"Oct 16, 2017",919910256624447493,https://www.twitter.com/realDonaldTrump/status/919910256624447493
11.4K,"2,717",59.6K,2,2,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,6:14 AM,"Oct 21, 2017",921726400922619904,https://www.twitter.com/realDonaldTrump/status/921726400922619904
"8,979",982,40.3K,2,2,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:51 PM,"Oct 21, 2017",,https://www.twitter.com/bpolitics
24.8K,"7,117",114K,6,6,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,8:43 PM,"Nov 1, 2017",925931294705545216,https://www.twitter.com/realDonaldTrump/status/925931294705545216
,"3,718",,104K,,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:35 AM,"Nov 4, 2017",926789876556500992,https://www.twitter.com/realDonaldTrump/status/926789876556500992
,"1,338",,53.5K,,Just returned from Asia after 12 very successful days. Great to be home!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,8:42 PM,"Nov 14, 2017",930657178544984066,https://www.twitter.com/realDonaldTrump/status/930657178544984066
13.3K,"7,656",83.4K,2,2,Put big game trophy decision on hold until such time as I review all conservation facts. Under study for years. Will update soon with Secretary Zinke. Thank you!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:47 PM,"Nov 17, 2017",931685146415255552,https://www.twitter.com/realDonaldTrump/status/931685146415255552
,"2,445",,47.9K,,Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hit new Record High yesterday - $5.5 trillion gain since E. Many companies coming back to the U.S. Military building up and getting very strong.,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:51 AM,"Nov 22, 2017",933301876975718401,https://www.twitter.com/realDonaldTrump/status/933301876975718401
18.7K,"7,797",98K,3,3,"Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russia,Russia.  Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,1:29 PM,"Nov 26, 2017",934896989539586054,https://www.twitter.com/realDonaldTrump/status/934896989539586054
,686,,24.2K,,"“The Conference Board said that consumer sentiment was at its highest level in nearly 17 years in November. The Consumer Confidence Index rose from 126.2 in October to 129.5, notching its best reading since December 2000...” http://bit.ly/2AijXKg",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,2:44 PM,"Nov 28, 2017",,https://www.twitter.comhttps://t.co/iNOtT3K8Vn
15.4K,"2,106",72.2K,1,1,The jury was not told the killer of Kate was a 7 time felon. The Schumer/Pelosi Democrats are so weak on Crime that they will pay a big price in the 2018 and 2020 Elections.,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:13 AM,"Dec 1, 2017",936553863255031809,https://www.twitter.com/realDonaldTrump/status/936553863255031809
,"2,187",,58.2K,,"Putting Pelosi/Schumer Liberal Puppet Jones into office in Alabama would hurt our great Republican Agenda of low on taxes, tough on crime, strong on military and borders...& so much more. Look at your 401-k’s since Election. Highest Stock Market EVER! Jobs are roaring back!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:00 AM,"Dec 4, 2017",937652739001212928,https://www.twitter.com/realDonaldTrump/status/937652739001212928
"7,063",479,38.8K,1,1,"Today, as we Remember Pearl Harbor, it was an incredible honor to be joined with surviving Veterans of the attack on 12/7/1941. They are HEROES, and they are living witnesses to American History. All American hearts are filled with gratitude for their service and their sacrifice.",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,12:52 PM,"Dec 7, 2017",938873956345499654,https://www.twitter.com/realDonaldTrump/status/938873956345499654
10.3K,"1,415",42.6K,4,4,"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military est the remaining 1,000 or so fighters occupy roughly 1,900 square miles..” @jamiejmcintyre @dcexaminer",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,6:09 PM,"Dec 27, 2017",,https://www.twitter.com/jamiejmcintyre
12.3K,"2,558",61.8K,2,2,"While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage & Russia hoax!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:46 AM,"Dec 29, 2017",,https://www.twitter.com/foxandfriends
14.8K,"3,721",73.6K,5,5,"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts & more?",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,5:36 AM,"Dec 31, 2017",947461470924820480,https://www.twitter.com/realDonaldTrump/status/947461470924820480
"8,890",15.7K,55.6K,10,10,"Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there were Zero deaths in 2017, the best and safest year on record!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,6:13 AM,"Jan 2, 2018",948195478428102657,https://www.twitter.com/realDonaldTrump/status/948195478428102657
10.7K,"1,587",62.1K,4,4,"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,12:42 PM,"Jan 7, 2018",950105312782114817,https://www.twitter.com/realDonaldTrump/status/950105312782114817
"8,119","1,625",43.6K,1,1,“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,6:24 AM,"Jan 16, 2018",953271789790138368,https://www.twitter.com/realDonaldTrump/status/953271789790138368
